id,x_esquerda,y_esquerda,x_direita,y_direita,paralaxe_x,paralaxe_y,paralaxe_total,profundidade_mm,distancia_match
1,566.8460693359375,53.16115188598633,563.1058349609375,165.61354064941406,3.740234375,-112.45238876342773,112.5145727973982,7597.370418798955,26.739484786987305
2,547.5823974609375,613.5519409179688,541.7595825195312,723.9578857421875,5.82281494140625,-110.40594482421875,110.55938597138778,4880.104603347973,28.07133674621582
3,532.0083618164062,515.660888671875,526.6472778320312,624.140380859375,5.361083984375,-108.4794921875,108.61188446365064,5300.410529441231,33.689762115478516
4,566.4894409179688,98.98262786865234,562.8587646484375,212.31271362304688,3.63067626953125,-113.33008575439453,113.388227551508,7826.626195914937,34.35112762451172
5,900.9202880859375,301.8326110839844,895.042724609375,409.9600830078125,5.8775634765625,-108.12747192382812,108.2870995874359,4834.647233213566,34.65544509887695
6,909.838623046875,297.7372741699219,904.1393432617188,405.8919677734375,5.69927978515625,-108.15469360351562,108.3047530745527,4985.883667969629,35.0142822265625
7,623.3226318359375,532.2850341796875,618.4118041992188,640.7759399414062,4.91082763671875,-108.49090576171875,108.60199289642755,5786.386349121913,35.42597961425781
8,900.9202880859375,301.8326110839844,895.042724609375,409.9600830078125,5.8775634765625,-108.12747192382812,108.2870995874359,4834.647233213566,35.63705825805664
9,544.5929565429688,554.3589477539062,539.1361083984375,664.0879516601562,5.45684814453125,-109.72900390625,109.86460526452686,5207.391748380963,35.84689712524414
10,483.7231140136719,522.7320556640625,478.3282470703125,631.6320190429688,5.394866943359375,-108.89996337890625,109.03351142315684,5267.21906181164,36.1524543762207
11,1025.9285888671875,239.27444458007812,1020.666015625,346.76617431640625,5.2625732421875,-107.49172973632812,107.62047499819538,5399.629552364826,36.57868194580078
12,627.7907104492188,565.5895385742188,622.8678588867188,675.1904907226562,4.9228515625,-109.6009521484375,109.71145418483202,5772.253264034914,38.52272033691406
13,475.7983093261719,52.24116516113281,472.2979431152344,165.2310333251953,3.5003662109375,-112.9898681640625,113.04407490595382,8117.992314978204,39.37004089355469
14,563.9974365234375,676.0662841796875,557.9282836914062,787.3768920898438,6.06915283203125,-111.31060791015625,111.47594381491952,4682.028412602955,39.97499084472656
15,569.0296020507812,118.0350341796875,565.4811401367188,231.62217712402344,3.5484619140625,-113.58714294433594,113.64255639597587,8007.961389521483,40.137264251708984
16,483.0712585449219,580.2069091796875,477.03900146484375,689.1487426757812,6.032257080078125,-108.94183349609375,109.10871280961373,4710.665613679711,40.63249969482422
17,1025.9285888671875,239.27444458007812,1020.666015625,346.76617431640625,5.2625732421875,-107.49172973632812,107.62047499819538,5399.629552364826,40.7798957824707
18,1200.658203125,620.6759033203125,1193.955322265625,725.26220703125,6.702880859375,-104.5863037109375,104.80087564391548,4239.363132981242,41.78516387939453
19,618.1236572265625,840.894287109375,612.58349609375,949.9256591796875,5.5401611328125,-109.0313720703125,109.1720361672917,5129.082948815688,42.1307487487793
20,431.5545959472656,585.8827514648438,425.6695556640625,696.0601196289062,5.885040283203125,-110.1773681640625,110.33442869156616,4828.504926483476,42.27292251586914
21,478.7908935546875,617.8896484375,472.66778564453125,728.256103515625,6.12310791015625,-110.366455078125,110.53617895056442,4640.771715433459,42.63801193237305
22,473.6125793457031,34.96786880493164,470.1841735839844,147.84170532226562,3.42840576171875,-112.87383651733398,112.92589134564679,8288.38474059568,42.66145706176758
23,477.0923156738281,60.74479293823242,473.7062072753906,173.3243408203125,3.3861083984375,-112.57954788208008,112.63045916367174,8391.918585096795,42.66145706176758
24,231.29330444335938,49.96139144897461,226.41224670410156,160.02528381347656,4.8810577392578125,-110.06389236450195,110.17207054003588,5821.677906297576,42.90687561035156
25,1200.658203125,620.6759033203125,1193.955322265625,725.26220703125,6.702880859375,-104.5863037109375,104.80087564391548,4239.363132981242,43.06970977783203
26,560.1357421875,49.962745666503906,556.4599609375,163.0264892578125,3.67578125,-113.0637435913086,113.12347891874182,7730.586797024442,43.220367431640625
27,611.224365234375,522.7150268554688,606.204833984375,631.4656982421875,5.01953125,-108.75067138671875,108.86645131091495,5661.0756233463035,43.24349594116211
28,431.5545959472656,585.8827514648438,425.6695556640625,696.0601196289062,5.885040283203125,-110.1773681640625,110.33442869156616,4828.504926483476,43.33589553833008
29,909.2348022460938,301.9228820800781,903.1061401367188,410.00067138671875,6.128662109375,-108.07778930664062,108.25141588294119,4636.565940963232,43.4281005859375
30,899.2295532226562,295.8789367675781,893.40478515625,403.9079895019531,5.82476806640625,-108.029052734375,108.18597024436117,4878.468237024928,44.66542434692383
31,985.32373046875,493.0639343261719,980.4278564453125,601.3270874023438,4.8958740234375,-108.26315307617188,108.37379709343027,5804.059880619343,44.933284759521484
32,489.84942626953125,688.0950317382812,483.7894592285156,798.7781982421875,6.059967041015625,-110.68316650390625,110.84893570923282,4689.125503104652,46.18441390991211
33,495.46380615234375,134.53211975097656,492.1610412597656,246.8695068359375,3.302764892578125,-112.33738708496094,112.38592791364938,8603.684162882882,47.8643913269043
34,547.4603881835938,577.5720825195312,541.8375244140625,687.8223266601562,5.62286376953125,-110.250244140625,110.39353663162588,5053.642977085482,48.651824951171875
35,499.79052734375,691.8477783203125,493.73699951171875,803.080078125,6.05352783203125,-111.2322998046875,111.39690174799773,4694.113381232292,49.09175109863281
36,611.572509765625,841.19580078125,605.9696655273438,950.115234375,5.60284423828125,-108.91943359375,109.0634442787397,5071.700156475702,49.56813430786133
37,1041.80419921875,312.9609069824219,1036.4200439453125,420.41448974609375,5.3841552734375,-107.45358276367188,107.58838960016907,5277.6980894642575,49.74937057495117
38,442.7318115234375,586.01708984375,436.9537658691406,696.2310791015625,5.778045654296875,-110.2139892578125,110.36534437813506,4917.916489439353,50.019996643066406
39,566.8460693359375,53.16115188598633,563.1058349609375,165.61354064941406,3.740234375,-112.45238876342773,112.5145727973982,7597.370418798955,50.537113189697266
40,523.9533081054688,124.06382751464844,520.8615112304688,237.4521484375,3.091796875,-113.38832092285156,113.43046561493009,9190.754486418193,50.6063232421875
41,538.6621704101562,795.4812622070312,533.0658569335938,904.7780151367188,5.5963134765625,-109.2967529296875,109.439932956399,5077.618707209074,50.85272979736328
42,472.5120849609375,678.8841552734375,468.10369873046875,789.6376342773438,4.40838623046875,-110.75347900390625,110.84117908352333,6445.8839390255725,50.91168975830078
43,302.0525817871094,682.3541259765625,297.206298828125,792.2044677734375,4.846282958984375,-109.850341796875,109.95719190398054,5863.451688746434,51.078372955322266
44,622.398193359375,525.68359375,617.6292724609375,634.3569946289062,4.7689208984375,-108.67340087890625,108.77798796228498,5958.569371387616,51.15662384033203
45,560.1357421875,49.962745666503906,556.4599609375,163.0264892578125,3.67578125,-113.0637435913086,113.12347891874182,7730.586797024442,51.48786163330078
46,923.4132080078125,32.89670181274414,919.31494140625,140.86215209960938,4.0982666015625,-107.96545028686523,108.04320545403607,6933.649945849344,52.04805374145508
47,1048.776611328125,592.9295043945312,1043.4873046875,700.0980224609375,5.289306640625,-107.16851806640625,107.29896564873401,5372.3385560120005,52.9150276184082
48,547.5823974609375,613.5519409179688,541.7595825195312,723.9578857421875,5.82281494140625,-110.40594482421875,110.55938597138778,4880.104603347973,53.1789436340332
49,897.7859497070312,301.3189697265625,891.934814453125,409.6319580078125,5.85113525390625,-108.31298828125,108.47091413910783,4856.484214927242,53.34791564941406
50,1090.88037109375,723.0738525390625,1084.4078369140625,830.1187744140625,6.4725341796875,-107.044921875,107.24042613647185,4390.234985421421,53.4696159362793
51,629.5633544921875,34.71952819824219,625.5772094726562,147.661865234375,3.98614501953125,-112.94233703613281,113.0126579074227,7128.678425086895,54.442630767822266
52,1055.3509521484375,549.4630737304688,1050.1661376953125,656.3009643554688,5.184814453125,-106.837890625,106.96362547199303,5480.610011583557,54.75399398803711
53,542.4559326171875,511.3020324707031,537.0868530273438,619.939208984375,5.36907958984375,-108.63717651367188,108.76977124415026,5292.517185580957,55.009090423583984
54,436.6790771484375,574.9141845703125,430.8961181640625,685.318115234375,5.782958984375,-110.4039306640625,110.55528264488352,4913.738118630472,55.0181770324707
55,164.51144409179688,159.1190643310547,160.1652069091797,269.15838623046875,4.3462371826171875,-110.03932189941406,110.12512039371595,6538.05689980515,55.1180534362793
56,566.2432861328125,630.944580078125,560.4627075195312,742.9531860351562,5.78057861328125,-112.00860595703125,112.15766981148379,4915.761535482372,55.25395965576172
57,546.7313232421875,412.2076721191406,545.5931396484375,515.8176879882812,1.13818359375,-103.61001586914062,103.61626730536405,24966.047794079794,55.28110122680664
58,495.46380615234375,134.53211975097656,492.1610412597656,246.8695068359375,3.302764892578125,-112.33738708496094,112.38592791364938,8603.684162882882,56.18718719482422
59,956.0994873046875,534.058349609375,951.4261474609375,641.0609130859375,4.67333984375,-107.0025634765625,107.10456897747625,6080.436465155156,56.58621597290039
60,1140.14404296875,502.5982666015625,1134.47216796875,610.8280029296875,5.671875,-108.229736328125,108.37825423797472,5009.973950413223,57.76677322387695
61,880.3136596679688,765.3514404296875,875.0464477539062,873.6467895507812,5.2672119140625,-108.29534912109375,108.42336539052467,5394.8742643398455,57.93962478637695
